# trackType=GP Analysis Track,baseTime=2020-04-02T06:00:00Z
# DisturbanceId=1920-12F
# CycloneName=Harold
# MathType of Data
(Time->(Latitude,Longitude,Symbol,Category,Pressure,PressureOCI,RadiusOCI,Radius1000hPa,RadiusMaxWinds,MeanWind,WindGust,VerticalExtent,Uncertainty,FinalT,CurrentIntensity,GaleRadius,StrongGaleRadius,StormRadius,HurricaneRadius,NEGaleRadius,SEGaleRadius,SWGaleRadius,NWGaleRadius,NEStrongGaleRadius,SEStrongGaleRadius,SWStrongGaleRadius,NWStrongGaleRadius,NEStormRadius,SEStormRadius,SWStormRadius,NWStormRadius,NEHurricaneRadius,SEHurricaneRadius,SWHurricaneRadius,NWHurricaneRadius,P5Wind,DataSource,Land/Water,CycloneStatus,HowLocation,DataTNoDvorak,ModelTNoDvorak,PatternTNoDvorak,UncPressure,HowPressure,P/W_Method,HowMaxWindRadius,HowGaleRadius,HowStormRadius,HowHurricaneRadius,UncMaxWindSpeed,HowMaxWindSpeed,HowGust,EyeRadius,UncEyeRadius,HowEyeRadius))
# Column Headings
Time[fmt=yyyy-MM-dd'T'HH:mm:ss'Z'],Latitude,Longitude,Symbol,Category,Pressure,PressureOCI,RadiusOCI,Radius1000hPa,RadiusMaxWinds,MeanWind,WindGust,VerticalExtent,Uncertainty,FinalT,CurrentIntensity,GaleRadius,StrongGaleRadius,StormRadius,HurricaneRadius,NEGaleRadius,SEGaleRadius,SWGaleRadius,NWGaleRadius,NEStrongGaleRadius,SEStrongGaleRadius,SWStrongGaleRadius,NWStrongGaleRadius,NEStormRadius,SEStormRadius,SWStormRadius,NWStormRadius,NEHurricaneRadius,SEHurricaneRadius,SWHurricaneRadius,NWHurricaneRadius,P5Wind,DataSource,Land/Water,CycloneStatus,HowLocation,DataTNoDvorak,ModelTNoDvorak,PatternTNoDvorak,UncPressure,HowPressure,P/W_Method,HowMaxWindRadius,HowGaleRadius,HowStormRadius,HowHurricaneRadius,UncMaxWindSpeed,HowMaxWindSpeed,HowGust,EyeRadius,UncEyeRadius,HowEyeRadius
# Start of data
2020-04-02T06:00:00Z,-9.5,155.5,0.0,1.0,NaN,NaN,NaN,NaN,NaN,35.0,50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-02T12:00:00Z,-10.0,157.9,4.0,1.0,NaN,NaN,NaN,NaN,NaN,35.0,50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-02T18:00:00Z,-10.2,159.0,0.0,1.0,NaN,NaN,NaN,NaN,NaN,35.0,50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-03T00:00:00Z,-10.6,160.8,4.0,1.0,997.0,NaN,NaN,NaN,NaN,35.0,50.0,NaN,NaN,NaN,3.0,NaN,NaN,NaN,NaN,80.0,80.0,60.0,80.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-03T03:00:00Z,-11.2,162.0,0.0,1.0,997.0,NaN,NaN,NaN,NaN,35.0,50.0,NaN,NaN,NaN,3.0,NaN,NaN,NaN,NaN,80.0,80.0,60.0,80.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-03T06:00:00Z,-11.8,162.2,0.0,1.0,995.0,1004.0,300.0,120.0,60.0,35.0,50.0,3.0,NaN,3.0,3.0,NaN,NaN,NaN,NaN,80.0,80.0,60.0,80.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-03T12:00:00Z,-12.7,162.8,4.0,1.0,987.0,1006.0,400.0,130.0,45.0,45.0,65.0,3.0,NaN,3.0,3.0,NaN,NaN,NaN,NaN,100.0,100.0,50.0,70.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-03T18:00:00Z,-13.4,163.6,0.0,2.0,983.0,1006.0,300.0,90.0,40.0,60.0,85.0,3.0,60.0,4.0,4.0,NaN,NaN,50.0,NaN,100.0,100.0,60.0,75.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-04T00:00:00Z,-13.9,164.3,4.0,3.0,967.0,1006.0,180.0,60.0,15.0,80.0,110.0,3.0,15.0,5.0,5.0,NaN,NaN,NaN,20.0,110.0,110.0,50.0,70.0,NaN,NaN,NaN,NaN,50.0,40.0,30.0,35.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-04T06:00:00Z,-14.3,164.9,0.0,3.0,965.0,1006.0,360.0,100.0,20.0,85.0,120.0,3.0,15.0,5.0,5.0,NaN,NaN,NaN,20.0,110.0,110.0,50.0,70.0,NaN,NaN,NaN,NaN,50.0,40.0,30.0,35.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-04T12:00:00Z,-14.6,165.2,4.0,4.0,955.0,1006.0,360.0,100.0,20.0,90.0,125.0,3.0,15.0,5.5,5.5,NaN,NaN,NaN,20.0,120.0,120.0,120.0,100.0,NaN,NaN,NaN,NaN,50.0,40.0,40.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-04T18:00:00Z,-15.4,165.7,0.0,4.0,950.0,1006.0,360.0,120.0,20.0,95.0,135.0,3.0,60.0,5.5,5.5,NaN,NaN,NaN,20.0,120.0,120.0,100.0,100.0,NaN,NaN,NaN,NaN,50.0,40.0,40.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
