SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCF_ID,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND,USA_PRES,USA_SSHS,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_R50_NE,USA_R50_SE,USA_R50_SW,USA_R50_NW,USA_R64_NE,USA_R64_SE,USA_R64_SW,USA_R64_NW,USA_POCI,USA_ROCI,USA_RMW,USA_EYE,TOKYO_LAT,TOKYO_LON,TOKYO_GRADE,TOKYO_WIND,TOKYO_PRES,TOKYO_R50_DIR,TOKYO_R50_LONG,TOKYO_R50_SHORT,TOKYO_R30_DIR,TOKYO_R30_LONG,TOKYO_R30_SHORT,TOKYO_LAND,CMA_LAT,CMA_LON,CMA_CAT,CMA_WIND,CMA_PRES,HKO_LAT,HKO_LON,HKO_CAT,HKO_WIND,HKO_PRES,NEWDELHI_LAT,NEWDELHI_LON,NEWDELHI_GRADE,NEWDELHI_WIND,NEWDELHI_PRES,NEWDELHI_CI,NEWDELHI_DP,NEWDELHI_POCI,REUNION_LAT,REUNION_LON,REUNION_TYPE,REUNION_WIND,REUNION_PRES,REUNION_TNUM,REUNION_CI,REUNION_RMW,REUNION_R34_NE,REUNION_R34_SE,REUNION_R34_SW,REUNION_R34_NW,REUNION_R50_NE,REUNION_R50_SE,REUNION_R50_SW,REUNION_R50_NW,REUNION_R64_NE,REUNION_R64_SE,REUNION_R64_SW,REUNION_R64_NW,BOM_LAT,BOM_LON,BOM_TYPE,BOM_WIND,BOM_PRES,BOM_TNUM,BOM_CI,BOM_RMW,BOM_R34_NE,BOM_R34_SE,BOM_R34_SW,BOM_R34_NW,BOM_R50_NE,BOM_R50_SE,BOM_R50_SW,BOM_R50_NW,BOM_R64_NE,BOM_R64_SE,BOM_R64_SW,BOM_R64_NW,BOM_ROCI,BOM_POCI,BOM_EYE,BOM_POS_METHOD,BOM_PRES_METHOD,NADI_LAT,NADI_LON,NADI_CAT,NADI_WIND,NADI_PRES,WELLINGTON_LAT,WELLINGTON_LON,WELLINGTON_WIND,WELLINGTON_PRES,DS824_LAT,DS824_LON,DS824_STAGE,DS824_WIND,DS824_PRES,TD9636_LAT,TD9636_LON,TD9636_STAGE,TD9636_WIND,TD9636_PRES,TD9635_LAT,TD9635_LON,TD9635_WIND,TD9635_PRES,TD9635_ROCI,NEUMANN_LAT,NEUMANN_LON,NEUMANN_CLASS,NEUMANN_WIND,NEUMANN_PRES,MLC_LAT,MLC_LON,MLC_CLASS,MLC_WIND,MLC_PRES,USA_GUST,BOM_GUST,BOM_GUST_PER,REUNION_GUST,REUNION_GUST_PER,USA_SEAHGT,USA_SEARAD_NE,USA_SEARAD_SE,USA_SEARAD_SW,USA_SEARAD_NW,STORM_SPEED,STORM_DIR
2005032S14195,2005,13,SP,MM,MEENA,2005-02-01 00:00:00,NR,-14.0000,-165.000,15,1004,nadi,main,777,777,______________,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.0000,-165.000,-1,15,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0
2005032S14195,2005,13,SP,MM,MEENA,2005-02-01 03:00:00,NR,-14.1450,-164.995,,,,main,778,778,_______I______,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.1450,-164.995,-1,15,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0
2005032S14195,2005,13,SP,MM,MEENA,2005-02-01 06:00:00,NR,-14.3000,-165.000,15,1004,nadi,main,779,779,______________,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.3000,-165.000,-1,15,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,188
2005032S14195,2005,13,SP,MM,MEENA,2005-02-01 09:00:00,NR,-14.4775,-165.028,,,,main,780,770,_______I______,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.4775,-165.028,-1,15,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,193
2005032S14195,2005,13,SP,MM,MEENA,2005-02-01 12:00:00,NR,-14.7000,-165.100,15,1004,nadi,main,772,764,______________,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.7000,-165.100,-1,15,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,199
2005032S14195,2005,13,SP,MM,MEENA,2005-02-01 15:00:00,NR,-14.9925,-165.213,,,,main,766,748,_______I______,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.9925,-165.213,-1,17,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,206
2005032S14195,2005,13,SP,MM,MEENA,2005-02-01 18:00:00,NR,-15.3000,-165.400,20,1003,nadi,main,751,727,______________,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.3000,-165.400,-1,20,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,217
2005032S14195,2005,13,SP,MM,MEENA,2005-02-01 21:00:00,NR,-15.6026,-165.685,,,,main,727,703,_______I______,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.6026,-165.685,-1,22,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,229
2005032S14195,2005,13,SP,MM,MEENA,2005-02-02 00:00:00,NR,-15.8000,-166.000,25,1002,nadi,main,703,672,______________,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.8000,-166.000,-1,25,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,250
2005032S14195,2005,13,SP,MM,MEENA,2005-02-02 03:00:00,NR,-15.8100,-166.273,,,,main,672,649,_______I______,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.8100,-166.273,-1,25,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,282
