file,group,return_period,SLR
Hazards/Coastal/malampa_province/FloodDepth_malampa_100_0.1.tif,malampa,100,0.1
Hazards/Coastal/malampa_province/FloodDepth_malampa_100_0.2.tif,malampa,100,0.2
Hazards/Coastal/malampa_province/FloodDepth_malampa_100_0.3.tif,malampa,100,0.3
Hazards/Coastal/malampa_province/FloodDepth_malampa_100_0.4.tif,malampa,100,0.4
Hazards/Coastal/malampa_province/FloodDepth_malampa_100_0.5.tif,malampa,100,0.5
Hazards/Coastal/malampa_province/FloodDepth_malampa_100_0.6.tif,malampa,100,0.6
Hazards/Coastal/malampa_province/FloodDepth_malampa_100_0.7.tif,malampa,100,0.7
Hazards/Coastal/malampa_province/FloodDepth_malampa_100_0.8.tif,malampa,100,0.8
Hazards/Coastal/malampa_province/FloodDepth_malampa_100_0.9.tif,malampa,100,0.9
Hazards/Coastal/malampa_province/FloodDepth_malampa_100_0.tif,malampa,100,0
Hazards/Coastal/malampa_province/FloodDepth_malampa_100_1.0.tif,malampa,100,1.0
Hazards/Coastal/malampa_province/FloodDepth_malampa_100_1.1.tif,malampa,100,1.1
Hazards/Coastal/malampa_province/FloodDepth_malampa_100_1.2.tif,malampa,100,1.2
Hazards/Coastal/malampa_province/FloodDepth_malampa_100_1.3.tif,malampa,100,1.3
Hazards/Coastal/malampa_province/FloodDepth_malampa_100_1.4.tif,malampa,100,1.4
Hazards/Coastal/malampa_province/FloodDepth_malampa_100_1.5.tif,malampa,100,1.5
Hazards/Coastal/malampa_province/FloodDepth_malampa_100_1.6.tif,malampa,100,1.6
Hazards/Coastal/malampa_province/FloodDepth_malampa_100_1.7.tif,malampa,100,1.7
Hazards/Coastal/malampa_province/FloodDepth_malampa_100_1.8.tif,malampa,100,1.8
Hazards/Coastal/malampa_province/FloodDepth_malampa_100_1.9.tif,malampa,100,1.9
Hazards/Coastal/malampa_province/FloodDepth_malampa_10_0.1.tif,malampa,10,0.1
Hazards/Coastal/malampa_province/FloodDepth_malampa_100_2.0.tif,malampa,100,2.0
Hazards/Coastal/malampa_province/FloodDepth_malampa_10_0.2.tif,malampa,10,0.2
Hazards/Coastal/malampa_province/FloodDepth_malampa_10_0.3.tif,malampa,10,0.3
Hazards/Coastal/malampa_province/FloodDepth_malampa_10_0.4.tif,malampa,10,0.4
Hazards/Coastal/malampa_province/FloodDepth_malampa_10_0.5.tif,malampa,10,0.5
Hazards/Coastal/malampa_province/FloodDepth_malampa_10_0.6.tif,malampa,10,0.6
Hazards/Coastal/malampa_province/FloodDepth_malampa_10_0.7.tif,malampa,10,0.7
Hazards/Coastal/malampa_province/FloodDepth_malampa_10_0.8.tif,malampa,10,0.8
Hazards/Coastal/malampa_province/FloodDepth_malampa_10_0.9.tif,malampa,10,0.9
Hazards/Coastal/malampa_province/FloodDepth_malampa_10_0.tif,malampa,10,0
Hazards/Coastal/malampa_province/FloodDepth_malampa_10_1.0.tif,malampa,10,1.0
Hazards/Coastal/malampa_province/FloodDepth_malampa_10_1.1.tif,malampa,10,1.1
Hazards/Coastal/malampa_province/FloodDepth_malampa_10_1.2.tif,malampa,10,1.2
Hazards/Coastal/malampa_province/FloodDepth_malampa_10_1.3.tif,malampa,10,1.3
Hazards/Coastal/malampa_province/FloodDepth_malampa_10_1.4.tif,malampa,10,1.4
Hazards/Coastal/malampa_province/FloodDepth_malampa_10_1.5.tif,malampa,10,1.5
Hazards/Coastal/malampa_province/FloodDepth_malampa_10_1.6.tif,malampa,10,1.6
Hazards/Coastal/malampa_province/FloodDepth_malampa_10_1.7.tif,malampa,10,1.7
Hazards/Coastal/malampa_province/FloodDepth_malampa_10_1.8.tif,malampa,10,1.8
Hazards/Coastal/malampa_province/FloodDepth_malampa_10_1.9.tif,malampa,10,1.9
Hazards/Coastal/malampa_province/FloodDepth_malampa_10_2.0.tif,malampa,10,2.0
Hazards/Coastal/malampa_province/FloodDepth_malampa_250_0.1.tif,malampa,250,0.1
Hazards/Coastal/malampa_province/FloodDepth_malampa_250_0.2.tif,malampa,250,0.2
Hazards/Coastal/malampa_province/FloodDepth_malampa_250_0.3.tif,malampa,250,0.3
Hazards/Coastal/malampa_province/FloodDepth_malampa_250_0.4.tif,malampa,250,0.4
Hazards/Coastal/malampa_province/FloodDepth_malampa_250_0.5.tif,malampa,250,0.5
Hazards/Coastal/malampa_province/FloodDepth_malampa_250_0.6.tif,malampa,250,0.6
Hazards/Coastal/malampa_province/FloodDepth_malampa_250_0.7.tif,malampa,250,0.7
