Sector,Region,Total_Loss,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Exposed_Value,Total_Value,Number_Exposed_Buildings,Number_Damaged_Buildings,Total_Number_Buildings,Building_Loss,Total_Exposed_Building_Value,Total_Building_Value,By_Loss.range_<_1.Number,By_Loss.range_<_1.Total_Loss,By_Loss.range_1_100.Number,By_Loss.range_1_100.Total_Loss,By_Loss.range_100_1000.Number,By_Loss.range_100_1000.Total_Loss,By_Loss.range_1000_10000.Number,By_Loss.range_1000_10000.Total_Loss,By_Loss.range_10000_100000.Number,By_Loss.range_10000_100000.Total_Loss,By_Loss.range_100000_+.Number,By_Loss.range_100000_+.Total_Loss
Education,Malampa,62301,62301,0,0,2539323,2539323,30,14,30,62301,2539323,2539323,16,0,0,0,4,2043,9,29505,1,30752,0,0
Infrastructure,Malampa,56473,27496,0,28977,48856622,53669674,48,36,53,27447,1848952,2087342,61539,1,86,3392,65,27006,7,15425,1,10650,0,0
Other,Malampa,1144656,1144516,0,140,40507265,42707958,2151,1738,2239,1144656,40507265,42707958,513,8,979,24446,454,163317,283,827658,10,129227,0,0
Productive,Malampa,337657,318981,0,18676,37387673,38404040,469,346,492,319395,22829966,23503901,30090,9,174,3603,149,61705,57,138093,9,134247,0,0
Public,Malampa,171197,166980,0,4217,11558978,12399454,238,173,252,171197,11558978,12399454,84,3,76,1571,51,18171,38,106492,3,44960,0,0
Residential,Malampa,3789685,3787717,0,1968,88940499,94830996,4118,3235,4364,3789685,88940499,94830996,1418,142,1301,23265,898,389224,685,2257305,61,998933,1,120815
Unknown,Malampa,53281544,53219461,0,62083,433070332,480842723,22303,18193,24244,53281544,433070332,480842723,6065,7,1503,77560,8125,3846671,7428,23726805,1107,23609632,16,2020868
Infrastructure,Penama,58617,49999,0,8618,102392235,102804745,25,23,25,49302,1508748,1508748,49210,1,10,331,26,11854,2,8278,2,38152,0,0
Other,Penama,490004,490004,0,0,12533196,12791034,272,265,276,490004,12533196,12791034,11,0,102,4421,111,34573,37,110737,15,340274,0,0
Productive,Penama,379793,373750,0,6043,17473283,18634661,208,188,219,373750,10197296,11213943,14428,3,71,2406,65,23043,48,182366,11,171976,0,0
Public,Penama,412128,412128,0,0,10509145,11168777,130,119,135,412128,10509145,11168777,16,0,35,1594,41,14923,34,120792,9,274819,0,0
Residential,Penama,3669716,3635263,0,34453,72087701,74782055,2252,2168,2281,3669716,72087701,74782055,193,49,1028,30412,503,180793,453,1668363,104,1790100,0,0
Unknown,Penama,145658840,145646565,0,12275,751932840,753891667,20224,19820,20270,145658840,751932840,753891667,458,4,777,40418,5014,2487356,10235,40626650,3718,83854656,68,18649757
Infrastructure,Sanma,9540762,3381,5833480,3703901,124194057,311694094,13,7,42,21531,651968,2480597,120936,0,5137,276271,2713,715276,402,1197040,190,7038787,1,313387
Other,Sanma,441458,87691,291607,62160,33482552,85667134,424,210,1316,441458,33482552,85667134,1106,0,82,3264,60,22037,59,185668,9,230488,0,0
Productive,Sanma,1542912,243277,969963,329672,131938546,242830177,497,243,1257,1188883,126311982,217994949,33550,2,748,19595,814,303912,114,299768,27,802282,1,117354
Public,Sanma,166023,12833,113844,39346,21214721,49829699,121,65,322,166023,21214721,49829699,260,0,33,946,17,5759,9,37378,3,121940,0,0
Residential,Sanma,2129627,788340,1054277,287010,136329915,365472975,1945,1002,6501,2129627,136329915,365472975,5580,28,383,10585,275,107982,217,701549,44,1040116,2,269366
Unknown,Sanma,16295798,13009024,2125977,1160797,306281321,1195351812,8530,4254,33363,16295798,306281321,1195351812,29116,3,531,25522,1768,733706,1544,5357662,397,8387260,7,1791645
Education,Shefa,0,0,0,0,0,69810873,0,0,247,0,0,69810873,247,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Shefa,480506,0,0,480506,7242609,265586198,1,1,90,7561,356927,17136552,140011,0,444,21723,92,42803,97,393021,2,22959,0,0
Other,Shefa,3749,7,0,3742,548910,182993174,5,3,2708,3749,548910,182993174,2705,0,2,68,0,0,1,3681,0,0,0,0
Productive,Shefa,43843,189,0,43654,9949859,545515266,53,28,1981,39317,9895739,541253679,9737,1,36,920,32,9634,4,16778,1,16511,0,0
Public,Shefa,0,0,0,0,283497,227785806,3,0,848,0,283497,227785806,848,0,0,0,0,0,0,0,0,0,0,0
Residential,Shefa,44610,15367,0,29243,12342383,1472678697,91,49,12934,44610,12342383,1472678697,12892,2,14,257,14,7517,14,36835,0,0,0,0
Unknown,Shefa,316126,274018,0,42108,30944063,1439098892,896,495,24547,316126,30944063,1439098892,24052,0,113,6059,289,111761,93,198306,0,0,0,0
Education,Tafea,0,0,0,0,0,5781159,0,0,58,0,0,5781159,58,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Tafea,10105,0,0,10105,66850,49146419,0,0,48,0,0,891167,67449,0,24,1244,13,3013,3,5848,0,0,0,0
Other,Tafea,0,0,0,0,0,41323487,0,0,2185,0,0,41323487,2185,0,0,0,0,0,0,0,0,0,0,0
Productive,Tafea,1223,0,0,1223,2952,33723846,0,0,651,0,0,30576135,7001,0,3,26,3,1197,0,0,0,0,0,0
Public,Tafea,0,0,0,0,0,28253881,0,0,391,0,0,28253881,391,0,0,0,0,0,0,0,0,0,0,0
Residential,Tafea,0,0,0,0,0,83818753,0,0,4079,0,0,83818753,4079,0,0,0,0,0,0,0,0,0,0,0
Unknown,Tafea,134,0,0,134,127109,379217899,5,2,22448,134,127109,379217899,22446,0,2,134,0,0,0,0,0,0,0,0
Education,Torba,0,0,0,0,0,2656354,0,0,16,0,0,2656354,16,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Torba,169,0,0,169,1163,8745939,0,0,10,0,0,552509,13361,0,3,169,0,0,0,0,0,0,0,0
Other,Torba,0,0,0,0,0,10217638,0,0,413,0,0,10217638,413,0,0,0,0,0,0,0,0,0,0,0
Productive,Torba,2013,0,0,2013,5412,6927761,0,0,122,0,0,4788113,4375,0,1,30,5,1983,0,0,0,0,0,0
Public,Torba,0,0,0,0,0,4217009,0,0,60,0,0,4217009,60,0,0,0,0,0,0,0,0,0,0,0
Residential,Torba,913,235,0,678,124910,26555052,12,4,1000,913,124910,26555052,996,0,2,2,2,911,0,0,0,0,0,0
Unknown,Torba,14161,11298,0,2863,3068746,128410697,135,33,6003,14161,3068746,128410697,5970,0,11,523,17,5480,5,8157,0,0,0,0
